dt_txt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,main,description,clouds,wind_speed,wind_degree,date,day,time_of_record
2020-01-27 23:30:00+05:30,16.22,16.22,16.56,1011,1011,984,61,Clouds,broken clouds,54,2.89,106,2020-01-27,Monday,23:30:00
2020-01-28 02:30:00+05:30,15.56,15.56,15.73,1010,1010,983,64,Rain,light rain,47,3.09,69,2020-01-28,Tuesday,02:30:00
2020-01-28 05:30:00+05:30,15.57,15.57,15.57,1009,1009,982,63,Rain,light rain,44,3.65,59,2020-01-28,Tuesday,05:30:00
2020-01-28 08:30:00+05:30,15.22,15.22,15.22,1011,1011,984,67,Clouds,scattered clouds,31,3.45,92,2020-01-28,Tuesday,08:30:00
2020-01-28 11:30:00+05:30,19.67,19.67,19.67,1011,1011,984,51,Clouds,scattered clouds,30,5.62,110,2020-01-28,Tuesday,11:30:00
2020-01-28 14:30:00+05:30,19.75,19.75,19.75,1009,1009,982,53,Clouds,overcast clouds,92,4.38,136,2020-01-28,Tuesday,14:30:00
2020-01-28 17:30:00+05:30,18.51,18.51,18.51,1008,1008,981,63,Rain,light rain,88,1.27,205,2020-01-28,Tuesday,17:30:00
2020-01-28 20:30:00+05:30,16.44,16.44,16.44,1011,1011,983,69,Rain,light rain,27,1.84,310,2020-01-28,Tuesday,20:30:00
2020-01-28 23:30:00+05:30,14.9,14.9,14.9,1012,1012,985,76,Rain,light rain,43,1.48,308,2020-01-28,Tuesday,23:30:00
2020-01-29 02:30:00+05:30,14.29,14.29,14.29,1012,1012,985,81,Rain,light rain,56,1.68,279,2020-01-29,Wednesday,02:30:00
2020-01-29 05:30:00+05:30,12.69,12.69,12.69,1013,1013,985,83,Rain,light rain,28,2.68,267,2020-01-29,Wednesday,05:30:00
2020-01-29 08:30:00+05:30,13.35,13.35,13.35,1016,1016,988,82,Rain,light rain,19,3.05,280,2020-01-29,Wednesday,08:30:00
2020-01-29 11:30:00+05:30,18.51,18.51,18.51,1017,1017,990,55,Clouds,few clouds,14,3.56,290,2020-01-29,Wednesday,11:30:00
2020-01-29 14:30:00+05:30,20.44,20.44,20.44,1014,1014,987,43,Clear,clear sky,0,4.08,272,2020-01-29,Wednesday,14:30:00
2020-01-29 17:30:00+05:30,17.76,17.76,17.76,1014,1014,987,49,Clear,clear sky,0,4.08,291,2020-01-29,Wednesday,17:30:00
2020-01-29 20:30:00+05:30,14.91,14.91,14.91,1017,1017,990,53,Clear,clear sky,0,3.48,299,2020-01-29,Wednesday,20:30:00
2020-01-29 23:30:00+05:30,13.25,13.25,13.25,1018,1018,991,62,Clear,clear sky,0,3.18,310,2020-01-29,Wednesday,23:30:00
2020-01-30 02:30:00+05:30,11.86,11.86,11.86,1017,1017,990,72,Clear,clear sky,0,2.52,292,2020-01-30,Thursday,02:30:00
2020-01-30 05:30:00+05:30,10.6,10.6,10.6,1017,1017,990,81,Clear,clear sky,0,2.76,299,2020-01-30,Thursday,05:30:00
2020-01-30 08:30:00+05:30,11.5,11.5,11.5,1018,1018,992,78,Clear,clear sky,0,2.98,317,2020-01-30,Thursday,08:30:00
