created_at,entry_id,field2
2023-03-15 10:07:45 UTC,100,907
2023-03-15 10:12:30 UTC,101,915
2023-03-15 10:13:35 UTC,102,915
2023-03-15 10:14:01 UTC,103,915
2023-03-15 10:14:35 UTC,104,914
2023-03-15 10:15:03 UTC,105,914
2023-03-15 10:15:32 UTC,106,903
2023-03-15 10:16:10 UTC,107,917
2023-03-15 10:16:37 UTC,108,917
2023-03-15 10:17:39 UTC,109,917
2023-03-15 10:18:13 UTC,110,900
2023-03-15 10:19:02 UTC,111,917
2023-03-15 10:19:42 UTC,112,928
2023-03-15 10:20:15 UTC,113,917
2023-03-15 10:20:42 UTC,114,918
2023-03-15 10:21:08 UTC,115,917
2023-03-15 10:21:35 UTC,116,918
2023-03-15 10:22:07 UTC,117,917
2023-03-15 10:31:13 UTC,118,918
2023-03-15 10:31:40 UTC,119,917
2023-03-15 10:32:17 UTC,120,917
2023-03-15 10:32:44 UTC,121,898
2023-03-15 10:33:11 UTC,122,918
2023-03-15 10:33:38 UTC,123,918
2023-03-15 10:34:06 UTC,124,918
2023-03-15 10:35:57 UTC,125,919
2023-03-15 10:36:30 UTC,126,876
2023-03-15 10:37:04 UTC,127,871
2023-03-15 10:37:37 UTC,128,890
2023-03-15 10:38:01 UTC,129,866
2023-03-15 10:38:28 UTC,130,932
2023-03-15 10:39:02 UTC,131,917
2023-03-15 10:39:38 UTC,132,919
2023-03-15 10:40:07 UTC,133,917
2023-03-15 10:40:41 UTC,134,918
2023-03-15 10:41:14 UTC,135,917
2023-03-15 10:41:44 UTC,136,918
2023-03-15 10:42:11 UTC,137,917
2023-03-15 10:42:38 UTC,138,918
2023-03-15 10:43:05 UTC,139,917
2023-03-15 10:43:31 UTC,140,922
2023-03-15 10:43:58 UTC,141,918
2023-03-15 10:44:32 UTC,142,914
2023-03-15 10:45:05 UTC,143,918
2023-03-15 10:45:26 UTC,144,918
2023-03-15 10:45:59 UTC,145,919
2023-03-15 10:47:11 UTC,146,919
2023-03-15 10:50:32 UTC,147,917
2023-03-15 10:51:41 UTC,148,919
2023-03-15 10:52:07 UTC,149,966
2023-03-15 10:52:41 UTC,150,924
2023-03-15 10:53:32 UTC,151,922
2023-03-15 10:56:00 UTC,152,927
2023-03-15 10:56:27 UTC,153,917
2023-03-15 10:57:02 UTC,154,918
2023-03-15 10:57:28 UTC,155,972
2023-03-15 11:01:19 UTC,156,919
2023-03-15 11:01:45 UTC,157,918
2023-03-15 11:02:13 UTC,158,895
2023-03-15 11:02:47 UTC,159,924
2023-03-15 11:06:26 UTC,160,922
2023-03-15 11:06:53 UTC,161,922
2023-03-15 11:09:15 UTC,162,921
2023-03-15 11:09:41 UTC,163,920
2023-03-15 11:10:08 UTC,164,920
2023-03-15 11:10:36 UTC,165,"

"
2023-03-15 11:11:09 UTC,166,921
2023-03-15 11:16:32 UTC,167,921
2023-03-15 11:16:53 UTC,168,921
2023-03-15 11:17:19 UTC,169,922
2023-03-15 11:17:46 UTC,170,927
2023-03-15 11:18:12 UTC,171,920
2023-03-15 11:21:12 UTC,172,919
2023-03-15 11:25:07 UTC,173,
2023-03-15 11:27:48 UTC,174,923
2023-03-15 11:28:15 UTC,175,921
2023-03-15 11:28:56 UTC,176,915
2023-03-15 11:29:23 UTC,177,919
2023-03-15 11:29:43 UTC,178,"
"
2023-03-15 11:30:17 UTC,179,920
2023-03-15 11:30:57 UTC,180,921
2023-03-15 15:50:21 UTC,181,938
2023-03-15 15:50:48 UTC,182,934
2023-03-15 15:51:16 UTC,183,934
2023-03-15 15:51:43 UTC,184,934
2023-03-15 15:52:09 UTC,185,934
2023-03-15 15:52:36 UTC,186,934
2023-03-15 15:53:03 UTC,187,974
2023-03-15 15:53:29 UTC,188,970
2023-03-15 15:54:02 UTC,189,935
2023-03-15 15:54:29 UTC,190,935
2023-03-15 15:54:57 UTC,191,933
2023-03-15 15:55:30 UTC,192,935
2023-03-16 01:55:27 UTC,193,950
2023-03-16 01:55:54 UTC,194,979
2023-03-16 01:56:26 UTC,195,974
2023-03-16 01:56:53 UTC,196,937
2023-03-16 02:40:43 UTC,197,931
2023-03-16 02:41:10 UTC,198,929
2023-03-16 02:41:43 UTC,199,930
